epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
160,2234.18,0.52207,0.2153,0.00196,0.87144,0.87105,0.88732,0.69831,0.68565,0.5544,0.00354,0.000311757,0.000311757,0.000311757
161,2247.98,0.51599,0.2081,0.00192,0.89144,0.87455,0.8996,0.71204,0.68829,0.54613,0.00357,0.000310856,0.000310856,0.000310856
162,2261.77,0.52081,0.21509,0.00202,0.90477,0.86868,0.89651,0.70676,0.6902,0.49754,0.0036,0.000309955,0.000309955,0.000309955
163,2275.32,0.52136,0.21605,0.00198,0.89508,0.89608,0.90772,0.72007,0.67787,0.50638,0.00351,0.000309054,0.000309054,0.000309054
164,2288.9,0.52731,0.21696,0.00197,0.88878,0.87157,0.89099,0.70777,0.67841,0.53018,0.00348,0.000308153,0.000308153,0.000308153
165,2302.57,0.52158,0.2056,0.00189,0.89402,0.87354,0.89589,0.70772,0.6789,0.50727,0.00351,0.000307252,0.000307252,0.000307252
166,2316.13,0.51709,0.20897,0.00196,0.91722,0.88346,0.90246,0.71685,0.67385,0.52328,0.00347,0.000306351,0.000306351,0.000306351
167,2329.79,0.51456,0.19809,0.00197,0.89394,0.87826,0.89599,0.70685,0.68628,0.54601,0.00357,0.000305451,0.000305451,0.000305451
168,2343.63,0.50396,0.19906,0.00192,0.89905,0.86797,0.88766,0.69463,0.7006,0.54129,0.00362,0.00030455,0.00030455,0.00030455
169,2357.35,0.4964,0.20282,0.0019,0.89762,0.89074,0.89989,0.70802,0.68077,0.51713,0.00353,0.000303649,0.000303649,0.000303649
170,2371.22,0.50831,0.20832,0.00191,0.87257,0.87342,0.88454,0.69545,0.69432,0.54161,0.00362,0.000302748,0.000302748,0.000302748
171,2384.89,0.5113,0.20496,0.00188,0.8826,0.88183,0.89442,0.70576,0.69148,0.52057,0.00359,0.000301847,0.000301847,0.000301847
172,2398.6,0.52109,0.20988,0.00195,0.89179,0.88488,0.90513,0.70882,0.69369,0.50855,0.00359,0.000300946,0.000300946,0.000300946
173,2412.47,0.50121,0.20052,0.00193,0.8938,0.88728,0.89727,0.70551,0.68688,0.52504,0.00357,0.000300045,0.000300045,0.000300045
174,2426.11,0.49431,0.20719,0.00189,0.89736,0.87659,0.89422,0.70707,0.67346,0.52864,0.00347,0.000299144,0.000299144,0.000299144
175,2439.73,0.49841,0.20252,0.00187,0.87488,0.90376,0.89561,0.7067,0.68111,0.52329,0.00347,0.000298243,0.000298243,0.000298243
176,2453.5,0.50657,0.20831,0.00188,0.89195,0.8908,0.90409,0.71558,0.68536,0.51321,0.00354,0.000297342,0.000297342,0.000297342
177,2467.19,0.50593,0.20436,0.0019,0.89325,0.90224,0.91272,0.72059,0.68497,0.49454,0.00354,0.000296442,0.000296442,0.000296442
178,2481.03,0.50364,0.21139,0.00191,0.90305,0.89209,0.90823,0.71842,0.67544,0.50967,0.00349,0.000295541,0.000295541,0.000295541
179,2494.85,0.5159,0.20968,0.00196,0.89117,0.89718,0.90719,0.71914,0.68103,0.50419,0.00352,0.00029464,0.00029464,0.00029464
